t1,f,t2,vel
4.1222,0.90734,4.1222,-0.07217
4.1381,0.89608,4.1381,-0.071969
4.1606,0.89616,4.1606,-0.06122
4.1778,0.8931,4.1778,0
4.1857,0.88877,4.1857,0
4.2138,0.8898,4.2138,0
4.2232,0.88289,4.2232,0
4.2467,0.88682,4.2467,0
4.2687,0.89803,4.2687,0
4.2847,0.90133,4.2847,0
4.2992,0.90847,4.2986,1.7977
4.3044,0.90874,4.3044,-0.0033658
4.3194,0.90865,4.3194,3.6315
4.3429,0.90861,4.3429,3.6729
4.3562,0.90852,4.3562,4.0813
4.3784,0.90842,4.3784,2.5794
4.3959,0.90869,4.3959,-0.044883
4.4522,0,4.4522,-0.071139
4.5121,0,4.5121,-0.070938
4.5716,0,4.5716,-0.069551
4.6107,0,4.6107,0.000075694
