st,t1,f,t2,v,t3,re
4.6918,4.6884,0.50094,4.6904,-1.2147,4.6966,177.07
4.7416,4.7389,0.50092,4.7461,-1.5828,4.7399,224.33
4.7915,4.7923,0.42954,4.7895,-1.1902,4.7926,174.75
4.8444,4.8427,0.42821,4.8452,-0.82209,4.8452,113.36
4.891,4.8991,0.35815,4.8854,-1.1656,4.8885,172.43
4.941,4.9407,0.36342,4.9381,-0.77301,4.9443,106.32
4.9858,4.9822,0.2894,4.9876,0.41718,4.9876,61.457
5.0337,5.0267,0.18499,5.0372,0.79755,5.0372,132.35
5.0967,5.092,0.17968,5.0991,0.41718,5.0991,73.32
5.1465,5.1424,0.16778,5.1486,0.82209,5.1486,146.57
5.1954,5.1899,0.13869,5.1981,1.227,5.1981,259.98
5.2483,5.2433,0.13075,5.2539,2.0491,5.2477,439.53
5.294,5.2908,0.13073,5.3003,2.0491,5.291,467.9
5.3439,5.3383,0.13072,5.3467,1.227,5.3467,281.31
